college,college_tier
IMS ENGINEERING COLLEGE,TIER 3
INDERPRASTHA ENGINEERING COLLEGE,TIER 3
INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,TIER 3
"INDIRA GANDHI INSTITUTE OF TECHNOLOGY, SARANG",TIER 3
INDORE INSTITUTE OF SCIENCE AND TECHNOLOGY,TIER 3
"INSTITUTE OF ENGINEERING AND MANAGEMENT, KOLKATA",TIER 3
INSTITUTE OF ENGINEERING AND RURAL TECHNOLOGY,TIER 3
INSTITUTE OF ENGINEERING AND RURAL TECHNOLOGY ALLAHABAD,TIER 3
INSTITUTE OF INFORMATION TECHNOLOGY AND MANAGEMENT,TIER 3
"INSTITUTE OF INFRASTRUCTURE, TECHNOLOGY, RESEARCH AND MANAGEMENT",TIER 3
INSTITUTE OF MANAGEMENT STUDIES AND ENGINEERING COLLEGE,TIER 3
INSTITUTE OF SCIENCE,TIER 3
"INSTITUTE OF TECHNICAL EDUCATION AND RESEARCH, BHUBANESWAR",TIER 3
ISM DHANBAD,TIER 2
ITM UNIVERSITY GWALIOR,TIER 3
JABALPUR ENGINEERING COLLEGE,TIER 3
JADAVPUR UNIVERSITY,TIER 1
"JAGANNATH UNIVERSITY, JAIPUR",TIER 3
JAGATPUR RUKMINI VIDYAMANDIR,TIER 3
JAIN COLLEGE OF ENGINEERING,TIER 3
JAIN UNIVERSITY,TIER 3
JAIPUR NATIONAL UNIVERSITY,TIER 3
JAMES COOK UNIVERSITY,TIER 3
JAMIA HAMDARD,TIER 3
JAMIA MILLIA ISLAMIA,TIER 2
"JAWAHARLAL NEHRU ENGINEERING COLLEGE, AURANGABAD",TIER 3
JAYPEE INSTITUTE OF INFORMATION TECHNOLOGY,TIER 3
JAYPEE UNIVERSITY OF ENGINEERING TECHNOLOGY,TIER 3
JAYPEE UNIVERSITY OF INFORMATION TECHNOLOGY,TIER 3
"JC BOSE UNIVERSITY OF SCIENCE AND TECHNOLOGY, YMCA",TIER 3
JEC JABALPUR,TIER 3
JECRC FOUNDATION,TIER 3
JECRC JAIPUR,TIER 3
JECRC UDML,TIER 3
JEPPIAAR ENGINEERING COLLEGE,TIER 3
JEPPIAAR INSTITUTE OF TECHNOLOGY,TIER 3
JEPPIAAR SRR ENGINEERING COLLEGE,TIER 3
JMIT RADAUR,TIER 3
JNGEC,TIER 3
JNTU,TIER 3
JNTU ANANTAPUR,TIER 3
JNTU KAKINADA,TIER 3
JNTU NARASARAOPET,TIER 3
JNTU VIZIANAGARAM,TIER 3
JNTUH,TIER 3
"JNTUH COLLEGE OF ENGINEERING, JAGTIAL",TIER 3
JNTUHCEH,TIER 3
JODHPUR INSTITUTE OF ENGINEERING AND TECHNOLOGY,TIER 3
JSS ACADEMY,TIER 3
JSSATE BANGALORE,TIER 3
JSSATE NOIDA,TIER 3
JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCIENCES,TIER 3
K L UNIVERSITY,TIER 3
K.C.COLLEGE OF ENGINEERING AND MANAGEMENT STUDIES,TIER 3
K.L.E INSTITUTE OF TECHNOLOGY HUBLI,TIER 3
K.S.R.COLLEGE OF ENGINEERING,TIER 3
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY,TIER 3
KALASALINGAM UNIVERSITY,TIER 3
KALYANI GOVERNMENT ENGINEERING COLLEGE,TIER 2
KAMLA NEHRU INSTITUTE OF TECHNOLOGY,TIER 3
KANPUR INSTITUTE OF TECHNOLOGY (KIT),TIER 3
KARUNYA UNIVERSITY,TIER 3
KAVI KULGURU INSTITUTE OF TECHNOLOGY,TIER 3
KC COLLEGER OF ENGINEERING,TIER 3
